#organism	nchr	16Scopy	nprot	nprot_w_function	lineage
Haemophilus_somnus_2336_uid57979	1	5	1980	1348	k:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Pasteurellales;f:Pasteurellaceae;g:Histophilus;s:Histophilussomni
Thermococcus_sibiricus_MM_739_uid59399	1	1	2035	985	k:Archaea;p:Euryarchaeota;c:Thermococci;o:Thermococcales;f:Thermococcaceae;g:Thermococcus;s:Thermococcussibiricus
Blattabacterium__Blatta_orientalis__Tarazona_uid188115	1	1	572	474	k:Bacteria;p:Bacteroidetes;c:Flavobacteriia;o:Flavobacteriales;f:Blattabacteriaceae;g:Blattabacterium;s:undef
Acidiphilium_multivorum_AIU301_uid63345	1	2	3448	1778	k:Bacteria;p:Proteobacteria;c:Alphaproteobacteria;o:Rhodospirillales;f:Acetobacteraceae;g:Acidiphilium;s:Acidiphiliummultivorum
Calothrix_PCC_6303_uid183109	1	4	5393	1635	k:Bacteria;p:Cyanobacteria;c:undef;o:Nostocales;f:Rivulariaceae;g:Calothrix;s:Calothrixparietina
Yersinia_pestis_Pestoides_F_uid58619	1	7	3849	2593	k:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Enterobacteriales;f:Enterobacteriaceae;g:Yersinia;s:Yersiniapestis
Streptococcus_pneumoniae_OXC141_uid162037	1	4	1823	1075	k:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Streptococcaceae;g:Streptococcus;s:Streptococcuspneumoniae
Rhodopseudomonas_palustris_BisB5_uid58441	1	2	4397	2115	k:Bacteria;p:Proteobacteria;c:Alphaproteobacteria;o:Rhizobiales;f:Bradyrhizobiaceae;g:Rhodopseudomonas;s:Rhodopseudomonaspalustris
Helicobacter_pylori_G27_uid59305	1	2	1493	927	k:Bacteria;p:Proteobacteria;c:Epsilonproteobacteria;o:Campylobacterales;f:Helicobacteraceae;g:Helicobacter;s:Helicobacterpylori
Waddlia_chondrophila_WSU_86_1044_uid49531	1	2	1934	869	k:Bacteria;p:Chlamydiae;c:Chlamydiia;o:Chlamydiales;f:Waddliaceae;g:Waddlia;s:Waddliachondrophila
Bacillus_anthracis_A0248_uid59385	1	11	5041	2275	k:Bacteria;p:Firmicutes;c:Bacilli;o:Bacillales;f:Bacillaceae;g:Bacillus;s:Bacillusanthracis
Klebsiella_pneumoniae_KCTC_2242_uid162147	1	8	4923	3109	k:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Enterobacteriales;f:Enterobacteriaceae;g:Klebsiella;s:Klebsiellapneumoniae
Emticicia_oligotrophica_DSM_17448_uid177079	1	2	3950	1405	k:Bacteria;p:Bacteroidetes;c:Cytophagia;o:Cytophagales;f:Cytophagaceae;g:Emticicia;s:Emticiciaoligotrophica
Streptococcus_suis_SC84_uid59323	1	4	1898	1106	k:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Streptococcaceae;g:Streptococcus;s:Streptococcussuis
Melissococcus_plutonius_ATCC_35311_uid66803	1	4	1742	973	k:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Enterococcaceae;g:Melissococcus;s:Melissococcusplutonius
Mycobacterium_marinum_M_uid59423	1	1	5423	1934	k:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Corynebacteriales;f:Mycobacteriaceae;g:Mycobacterium;s:Mycobacteriummarinum
Kytococcus_sedentarius_DSM_20547_uid59071	1	2	2554	1145	k:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Micrococcales;f:Dermacoccaceae;g:Kytococcus;s:Kytococcussedentarius
Sulfobacillus_acidophilus_DSM_10332_uid88061	1	5	3384	1433	k:Bacteria;p:Firmicutes;c:Clostridia;o:Clostridiales;f:Clostridiales;g:Sulfobacillus;s:Sulfobacillusacidophilus
Simiduia_agarivorans_SA1_uid177713	1	3	3820	1775	k:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:undef;f:undef;g:Simiduia;s:Simiduiaagarivorans
Candidatus_Blochmannia_floridanus_uid57999	1	1	583	564	k:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Enterobacteriales;f:Enterobacteriaceae;g:Blochmannia;s:Blochmanniafloridanus
Corynebacterium_pseudotuberculosis_1_06_A_uid159665	1	4	1963	1070	k:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Corynebacteriales;f:Corynebacteriaceae;g:Corynebacterium;s:Corynebacteriumpseudotuberculosis
Corynebacterium_pseudotuberculosis_FRC41_uid50585	1	4	2110	1156	k:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Corynebacteriales;f:Corynebacteriaceae;g:Corynebacterium;s:Corynebacteriumpseudotuberculosis
Chlorobaculum_parvum_NCIB_8327_uid59185	1	2	2043	1186	k:Bacteria;p:Chlorobi;c:Chlorobia;o:Chlorobiales;f:Chlorobiaceae;g:Chlorobaculum;s:Chlorobaculumparvum
Escherichia_coli_Xuzhou21_uid163995	1	7	5035	2955	k:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Enterobacteriales;f:Enterobacteriaceae;g:Escherichia;s:Escherichiacoli
Desulfotomaculum_kuznetsovii_DSM_6115_uid67357	1	6	3398	1454	k:Bacteria;p:Firmicutes;c:Clostridia;o:Clostridiales;f:Peptococcaceae;g:Desulfotomaculum;s:Desulfotomaculumkuznetsovii
bacterium_BT_1_uid184079	1	3	1378	849	k:Bacteria;p:Proteobacteria;c:Alphaproteobacteria;o:Rhizobiales;f:Rhizobiaceae;g:Liberibacter;s:Liberibactercrescens
Campylobacter_jejuni_doylei_269_97_uid58671	1	3	1731	1036	k:Bacteria;p:Proteobacteria;c:Epsilonproteobacteria;o:Campylobacterales;f:Campylobacteraceae;g:Campylobacter;s:Campylobacterjejuni
Treponema_brennaborense_DSM_12168_uid66607	1	4	2531	1181	k:Bacteria;p:Spirochaetes;c:Spirochaetia;o:Spirochaetales;f:Spirochaetaceae;g:Treponema;s:Treponemabrennaborense
Streptococcus_oralis_Uo5_uid65449	1	4	1905	1025	k:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Streptococcaceae;g:Streptococcus;s:Streptococcusoralis
Marinobacter_BSs20148_uid171995	1	3	3887	1985	k:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Alteromonadales;f:Alteromonadaceae;g:Marinobacter;s:undef
Burkholderia_cenocepacia_AU_1054_uid58371	3	6	6477	3028	k:Bacteria;p:Proteobacteria;c:Betaproteobacteria;o:Burkholderiales;f:Burkholderiaceae;g:Burkholderia;s:Burkholderiacenocepacia
Zobellia_galactanivorans_uid70621	1	2	4732	1498	k:Bacteria;p:Bacteroidetes;c:Flavobacteriia;o:Flavobacteriales;f:Flavobacteriaceae;g:Zobellia;s:Zobelliagalactanivorans
Desulfitobacterium_hafniense_Y51_uid58605	1	12	5060	1993	k:Bacteria;p:Firmicutes;c:Clostridia;o:Clostridiales;f:Peptococcaceae;g:Desulfitobacterium;s:Desulfitobacteriumhafniense
Streptococcus_suis_GZ1_uid161937	1	4	1977	1070	k:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Streptococcaceae;g:Streptococcus;s:Streptococcussuis
Staphylococcus_aureus_MSSA476_uid57841	1	6	2571	1420	k:Bacteria;p:Firmicutes;c:Bacilli;o:Bacillales;f:Staphylococcaceae;g:Staphylococcus;s:Staphylococcusaureus
Bacillus_cereus_F837_76_uid83611	1	12	5373	2243	k:Bacteria;p:Firmicutes;c:Bacilli;o:Bacillales;f:Bacillaceae;g:Bacillus;s:Bacilluscereus
Pasteurella_multocida_HN06_uid156881	1	6	2258	1542	k:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Pasteurellales;f:Pasteurellaceae;g:Pasteurella;s:Pasteurellamultocida
Veillonella_parvula_DSM_2008_uid41927	1	4	1844	1065	k:Bacteria;p:Firmicutes;c:Negativicutes;o:Selenomonadales;f:Veillonellaceae;g:Veillonella;s:Veillonellaparvula
Methylococcus_capsulatus_Bath_uid57607	1	2	2956	1583	k:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Methylococcales;f:Methylococcaceae;g:Methylococcus;s:Methylococcuscapsulatus
Mycobacterium_canettii_CIPT_140060008_uid184829	1	1	3981	1524	k:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Corynebacteriales;f:Mycobacteriaceae;g:Mycobacterium;s:Mycobacteriumcanettii
Pseudomonas_aeruginosa_PAO1_uid57945	1	4	5569	3006	k:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Pseudomonadales;f:Pseudomonadaceae;g:Pseudomonas;s:Pseudomonasaeruginosa
Haemophilus_ducreyi_35000HP_uid57625	1	6	1717	1115	k:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Pasteurellales;f:Pasteurellaceae;g:Haemophilus;s:Haemophilusducreyi
Collimonas_fungivorans_Ter331_uid70793	1	3	4432	2320	k:Bacteria;p:Proteobacteria;c:Betaproteobacteria;o:Burkholderiales;f:Oxalobacteraceae;g:Collimonas;s:Collimonasfungivorans
Brucella_abortus_A13334_uid83615	2	3	3338	1744	k:Bacteria;p:Proteobacteria;c:Alphaproteobacteria;o:Rhizobiales;f:Brucellaceae;g:Brucella;s:Brucellaabortus
Pseudoalteromonas_atlantica_T6c_uid58283	1	5	4281	1168	k:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Alteromonadales;f:Pseudoalteromonadaceae;g:Pseudoalteromonas;s:Pseudoalteromonasatlantica
Francisella_tularensis_mediasiatica_FSC147_uid58939	1	3	1406	920	k:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Thiotrichales;f:Francisellaceae;g:Francisella;s:Francisellatularensis
Azoarcus_KH32C_uid193704	1	5	4531	2210	k:Bacteria;p:Proteobacteria;c:Betaproteobacteria;o:Rhodocyclales;f:Rhodocyclaceae;g:Azoarcus;s:undef
Mycoplasma_gallisepticum_WI01_2001_043_13_2P_uid172628	1	2	746	384	k:Bacteria;p:Tenericutes;c:Mollicutes;o:Mycoplasmatales;f:Mycoplasmataceae;g:Mycoplasma;s:Mycoplasmagallisepticum
Treponema_primitia_ZAS_2_uid67367	1	2	3523	1432	k:Bacteria;p:Spirochaetes;c:Spirochaetia;o:Spirochaetales;f:Spirochaetaceae;g:Treponema;s:Treponemaprimitia
Melissococcus_plutonius_DAT561_uid89371	1	4	1515	918	k:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Enterococcaceae;g:Melissococcus;s:Melissococcusplutonius
Corynebacterium_ulcerans_0102_uid169879	1	4	2349	1166	k:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Corynebacteriales;f:Corynebacteriaceae;g:Corynebacterium;s:Corynebacteriumulcerans
Marivirga_tractuosa_DSM_4126_uid60837	1	2	3749	1335	k:Bacteria;p:Bacteroidetes;c:Cytophagia;o:Cytophagales;f:Flammeovirgaceae;g:Marivirga;s:Marivirgatractuosa
Chlamydia_trachomatis_L2c_uid68843	1	2	954	525	k:Bacteria;p:Chlamydiae;c:Chlamydiia;o:Chlamydiales;f:Chlamydiaceae;g:Chlamydia;s:Chlamydiatrachomatis
Listeria_monocytogenes_SLCC2479_uid175108	1	6	2935	1562	k:Bacteria;p:Firmicutes;c:Bacilli;o:Bacillales;f:Listeriaceae;g:Listeria;s:Listeriamonocytogenes
Mesorhizobium_australicum_WSM2073_uid75101	1	2	5792	2522	k:Bacteria;p:Proteobacteria;c:Alphaproteobacteria;o:Rhizobiales;f:Phyllobacteriaceae;g:Mesorhizobium;s:Mesorhizobiumaustralicum
Vibrio_parahaemolyticus_RIMD_2210633_uid57969	2	11	4831	2565	k:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Vibrionales;f:Vibrionaceae;g:Vibrio;s:Vibrioparahaemolyticus
Gallibacterium_anatis_UMN179_uid66567	1	6	2494	1590	k:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Pasteurellales;f:Pasteurellaceae;g:Gallibacterium;s:Gallibacteriumanatis
Streptococcus_pneumoniae_SPN994038_uid197187	1	4	1819	1073	k:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Streptococcaceae;g:Streptococcus;s:Streptococcuspneumoniae
Rickettsia_bellii_RML369_C_uid58405	1	1	1429	702	k:Bacteria;p:Proteobacteria;c:Alphaproteobacteria;o:Rickettsiales;f:Rickettsiaceae;g:Rickettsia;s:Rickettsiabellii
Bifidobacterium_bifidum_S17_uid59545	1	3	1783	887	k:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Bifidobacteriales;f:Bifidobacteriaceae;g:Bifidobacterium;s:Bifidobacteriumbifidum
Pseudomonas_syringae_B728a_uid57931	1	5	5089	2675	k:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Pseudomonadales;f:Pseudomonadaceae;g:Pseudomonas;s:Pseudomonassyringae
Coraliomargarita_akajimensis_DSM_45221_uid47079	1	2	3120	1258	k:Bacteria;p:Verrucomicrobia;c:Opitutae;o:Puniceicoccales;f:Puniceicoccaceae;g:Coraliomargarita;s:Coraliomargaritaakajimensis
Pseudomonas_ND6_uid167583	1	6	6153	2656	k:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Pseudomonadales;f:Pseudomonadaceae;g:Pseudomonas;s:Pseudomonasputida
Vibrio_vulnificus_YJ016_uid58007	2	9	4954	2511	k:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Vibrionales;f:Vibrionaceae;g:Vibrio;s:Vibriovulnificus
Flavobacteriaceae_bacterium_3519_10_uid59413	1	2	2534	1046	k:Bacteria;p:Bacteroidetes;c:Flavobacteriia;o:Flavobacteriales;f:Flavobacteriaceae;g:Flavobacteriaceae;s:Flavobacteriaceaebacterium
Pectobacterium_carotovorum_PC1_uid59295	1	7	4246	2723	k:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Enterobacteriales;f:Enterobacteriaceae;g:Pectobacterium;s:Pectobacteriumcarotovorum
Streptococcus_pneumoniae_SPN034156_uid197185	1	4	1799	1079	k:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Streptococcaceae;g:Streptococcus;s:Streptococcuspneumoniae
Staphylococcus_epidermidis_ATCC_12228_uid57861	1	5	2416	1316	k:Bacteria;p:Firmicutes;c:Bacilli;o:Bacillales;f:Staphylococcaceae;g:Staphylococcus;s:Staphylococcusepidermidis
Clostridium_botulinum_A2_Kyoto_uid59229	1	9	3877	1640	k:Bacteria;p:Firmicutes;c:Clostridia;o:Clostridiales;f:Clostridiaceae;g:Clostridium;s:Clostridiumbotulinum
Helicobacter_pylori_26695_uid57787	1	2	1571	976	k:Bacteria;p:Proteobacteria;c:Epsilonproteobacteria;o:Campylobacterales;f:Helicobacteraceae;g:Helicobacter;s:Helicobacterpylori
Pseudomonas_putida_HB3267_uid184078	1	7	5292	2591	k:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Pseudomonadales;f:Pseudomonadaceae;g:Pseudomonas;s:Pseudomonasputida
Mycoplasma_genitalium_M2288_uid173372	1	1	506	337	k:Bacteria;p:Tenericutes;c:Mollicutes;o:Mycoplasmatales;f:Mycoplasmataceae;g:Mycoplasma;s:Mycoplasmagenitalium
Leuconostoc_C2_uid68743	1	4	1855	1096	k:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Leuconostocaceae;g:Leuconostoc;s:undef
Vibrio_vulnificus_CMCP6_uid62909	2	9	4433	2467	k:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Vibrionales;f:Vibrionaceae;g:Vibrio;s:Vibriovulnificus
Fibrella_aestuarina_BUZ_2_uid178352	1	3	5480	1544	k:Bacteria;p:Bacteroidetes;c:Cytophagia;o:Cytophagales;f:Cytophagaceae;g:Fibrella;s:Fibrellaaestuarina
Staphylococcus_aureus_T0131_uid159861	1	5	2711	1392	k:Bacteria;p:Firmicutes;c:Bacilli;o:Bacillales;f:Staphylococcaceae;g:Staphylococcus;s:Staphylococcusaureus
Haliangium_ochraceum_DSM_14365_uid41425	1	2	6719	1824	k:Bacteria;p:Proteobacteria;c:Deltaproteobacteria;o:Myxococcales;f:Kofleriaceae;g:Haliangium;s:Haliangiumochraceum
Actinoplanes_missouriensis_431_uid158169	1	6	8124	2344	k:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Micromonosporales;f:Micromonosporaceae;g:Actinoplanes;s:Actinoplanesmissouriensis
Pyrolobus_fumarii_1A_uid73415	1	1	1967	851	k:Archaea;p:Crenarchaeota;c:Thermoprotei;o:Desulfurococcales;f:Pyrodictiaceae;g:Pyrolobus;s:Pyrolobusfumarii
Riemerella_anatipestifer_ATCC_11845___DSM_15868_uid60727	1	3	1972	915	k:Bacteria;p:Bacteroidetes;c:Flavobacteriia;o:Flavobacteriales;f:Flavobacteriaceae;g:Riemerella;s:Riemerellaanatipestifer
Thioalkalivibrio_sulfidophilus_HL_EbGr7_uid59179	1	1	3283	1701	k:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Chromatiales;f:Ectothiorhodospiraceae;g:Thioalkalivibrio;s:Thioalkalivibriosulfidiphilus
Thermotoga_naphthophila_RKU_10_uid42777	1	1	1768	1112	k:Bacteria;p:Thermotogae;c:Thermotogae;o:Thermotogales;f:Thermotogaceae;g:Thermotoga;s:Thermotoganaphthophila
Staphylococcus_aureus_M013_uid88065	1	5	2591	1393	k:Bacteria;p:Firmicutes;c:Bacilli;o:Bacillales;f:Staphylococcaceae;g:Staphylococcus;s:Staphylococcusaureus
Renibacterium_salmoninarum_ATCC_33209_uid58899	1	2	3507	1382	k:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Micrococcales;f:Micrococcaceae;g:Renibacterium;s:Renibacteriumsalmoninarum
Streptomyces_hygroscopicus_jinggangensis_TL01_uid189753	1	6	8619	2386	k:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Streptomycetales;f:Streptomycetaceae;g:Streptomyces;s:Streptomyceshygroscopicus
Escherichia_coli_NA114_uid162139	1	7	4873	2960	k:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Enterobacteriales;f:Enterobacteriaceae;g:Escherichia;s:Escherichiacoli
Halothece_PCC_7418_uid183338	1	3	3708	1471	k:Bacteria;p:Cyanobacteria;c:undef;o:Chroococcales;f:undef;g:Halothece;s:undef
Thermus_thermophilus_SG0_5JP17_16_uid159537	1	2	1920	1085	k:Bacteria;p:Deinococcus-Thermus;c:Deinococci;o:Thermales;f:Thermaceae;g:Thermus;s:Thermusthermophilus
Amycolicicoccus_subflavus_DQS3_9A1_uid67253	1	3	4557	1842	k:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Corynebacteriales;f:Mycobacteriaceae;g:Amycolicicoccus;s:Amycolicicoccussubflavus
Burkholderia_mallei_NCTC_10247_uid58385	2	4	5415	2630	k:Bacteria;p:Proteobacteria;c:Betaproteobacteria;o:Burkholderiales;f:Burkholderiaceae;g:Burkholderia;s:Burkholderiamallei
Escherichia_coli_O55_H7_RM12579_uid162153	1	7	4912	2971	k:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Enterobacteriales;f:Enterobacteriaceae;g:Escherichia;s:Escherichiacoli
Mycoplasma_suis_KI3806_uid63665	1	1	794	227	k:Bacteria;p:Tenericutes;c:Mollicutes;o:Mycoplasmatales;f:Mycoplasmataceae;g:Mycoplasma;s:Mycoplasmasuis
Shigella_dysenteriae_Sd197_uid58213	1	7	4268	2584	k:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Enterobacteriales;f:Enterobacteriaceae;g:Shigella;s:Shigelladysenteriae
Chlamydia_psittaci_M56_uid175576	1	1	1041	538	k:Bacteria;p:Chlamydiae;c:Chlamydiia;o:Chlamydiales;f:Chlamydiaceae;g:Chlamydia;s:Chlamydiapsittaci
Dehalobacter_CF_uid177714	1	3	2980	1285	k:Bacteria;p:Firmicutes;c:Clostridia;o:Clostridiales;f:Peptococcaceae;g:Dehalobacter;s:undef
Streptococcus_pneumoniae_TCH8431_19A_uid49735	1	4	2275	1168	k:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Streptococcaceae;g:Streptococcus;s:Streptococcuspneumoniae
Bifidobacterium_animalis_lactis_Bl_04_uid59359	1	4	1567	892	k:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Bifidobacteriales;f:Bifidobacteriaceae;g:Bifidobacterium;s:Bifidobacteriumanimalis
Candidatus_Zinderia_insecticola_CARI_uid52459	1	1	202	195	k:Bacteria;p:Proteobacteria;c:Betaproteobacteria;o:Burkholderiales;f:Oxalobacteraceae;g:Zinderia;s:Zinderiainsecticola
Exiguobacterium_antarcticum_B7_uid176125	1	9	2772	1425	k:Bacteria;p:Firmicutes;c:Bacilli;o:Bacillales;f:undef;g:Exiguobacterium;s:Exiguobacteriumantarcticum
Thermus_CCB_US3_UF1_uid81197	1	2	2247	1211	k:Bacteria;p:Deinococcus-Thermus;c:Deinococci;o:Thermales;f:Thermaceae;g:Thermus;s:undef
Desulfococcus_oleovorans_Hxd3_uid58777	1	1	3265	1338	k:Bacteria;p:Proteobacteria;c:Deltaproteobacteria;o:Desulfobacterales;f:Desulfobacteraceae;g:Desulfococcus;s:Desulfococcusoleovorans
Thermoanaerobacter_mathranii_A3_uid49481	1	4	2159	1277	k:Bacteria;p:Firmicutes;c:Clostridia;o:Thermoanaerobacterales;f:Thermoanaerobacteraceae;g:Thermoanaerobacter;s:Thermoanaerobactermathranii
Chlamydia_psittaci_MN_uid175573	1	1	1034	541	k:Bacteria;p:Chlamydiae;c:Chlamydiia;o:Chlamydiales;f:Chlamydiaceae;g:Chlamydia;s:Chlamydiapsittaci
Chlorobium_chlorochromatii_CaD3_uid58375	1	1	1999	1060	k:Bacteria;p:Chlorobi;c:Chlorobia;o:Chlorobiales;f:Chlorobiaceae;g:Chlorobium;s:Chlorobiumchlorochromatii
Rahnella_aquatilis_CIP_78_65___ATCC_33071_uid86855	1	7	4344	2679	k:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Enterobacteriales;f:Enterobacteriaceae;g:Rahnella;s:Rahnellaaquatilis
Achromobacter_xylosoxidans_A8_uid59899	1	3	6459	3027	k:Bacteria;p:Proteobacteria;c:Betaproteobacteria;o:Burkholderiales;f:Alcaligenaceae;g:Achromobacter;s:Achromobacterxylosoxidans
Xylella_fastidiosa_GB514_uid162023	1	2	2183	1125	k:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Xanthomonadales;f:Xanthomonadaceae;g:Xylella;s:Xylellafastidiosa
Agrobacterium_radiobacter_K84_uid58269	2	3	6107	3078	k:Bacteria;p:Proteobacteria;c:Alphaproteobacteria;o:Rhizobiales;f:Rhizobiaceae;g:Agrobacterium;s:Agrobacteriumtumefaciens
Blattabacterium__Panesthia_angustipennis_spadica__BPAA_uid193717	1	1	575	471	k:Bacteria;p:Bacteroidetes;c:Flavobacteriia;o:Flavobacteriales;f:Blattabacteriaceae;g:Blattabacterium;s:undef
Chlamydia_trachomatis_E_SotonE8_uid196777	1	2	897	522	k:Bacteria;p:Chlamydiae;c:Chlamydiia;o:Chlamydiales;f:Chlamydiaceae;g:Chlamydia;s:Chlamydiatrachomatis
Francisella_tularensis_holarctica_F92_uid181998	1	3	1842	943	k:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Thiotrichales;f:Francisellaceae;g:Francisella;s:Francisellatularensis
Burkholderia_phenoliruptrix_BR3459a_uid176370	2	6	5780	2724	k:Bacteria;p:Proteobacteria;c:Betaproteobacteria;o:Burkholderiales;f:Burkholderiaceae;g:Burkholderia;s:Burkholderiaphenoliruptrix
Chlamydia_trachomatis_A_363_uid196769	1	2	900	527	k:Bacteria;p:Chlamydiae;c:Chlamydiia;o:Chlamydiales;f:Chlamydiaceae;g:Chlamydia;s:Chlamydiatrachomatis
Streptococcus_suis_P1_7_uid32235	1	4	1824	1092	k:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Streptococcaceae;g:Streptococcus;s:Streptococcussuis
Lactobacillus_helveticus_R0052_uid174439	1	4	2011	915	k:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Lactobacillaceae;g:Lactobacillus;s:Lactobacillushelveticus
Escherichia_coli_BL21_DE3__uid161949	1	7	4192	2884	k:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Enterobacteriales;f:Enterobacteriaceae;g:Escherichia;s:Escherichiacoli
Streptococcus_pneumoniae_P1031_uid59123	1	4	2073	1140	k:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Streptococcaceae;g:Streptococcus;s:Streptococcuspneumoniae
Helicobacter_pylori_2018_uid161159	1	1	1603	903	k:Bacteria;p:Proteobacteria;c:Epsilonproteobacteria;o:Campylobacterales;f:Helicobacteraceae;g:Helicobacter;s:Helicobacterpylori
Ornithobacterium_rhinotracheale_DSM_15997_uid168256	1	3	2267	876	k:Bacteria;p:Bacteroidetes;c:Flavobacteriia;o:Flavobacteriales;f:Flavobacteriaceae;g:Ornithobacterium;s:Ornithobacteriumrhinotracheale
Francisella_tularensis_NE061598_uid161973	1	3	1836	942	k:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Thiotrichales;f:Francisellaceae;g:Francisella;s:Francisellatularensis
Candidatus_Kinetoplastibacterium_oncopeltii_TCC290E_uid189840	1	3	694	613	k:Bacteria;p:Proteobacteria;c:Betaproteobacteria;o:undef;f:undef;g:Kinetoplastibacterium;s:Kinetoplastibacteriumoncopeltii
Wigglesworthia_glossinidia_endosymbiont_of_Glossina_brevipalpis_uid57853	1	2	611	584	k:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Enterobacteriales;f:Enterobacteriaceae;g:Wigglesworthia;s:Wigglesworthiaglossinidia
Thermoanaerobacter_italicus_Ab9_uid46241	1	4	2270	1318	k:Bacteria;p:Firmicutes;c:Clostridia;o:Thermoanaerobacterales;f:Thermoanaerobacteraceae;g:Thermoanaerobacter;s:Thermoanaerobacteritalicus
Thermovibrio_ammonificans_HB_1_uid62095	1	3	1711	986	k:Bacteria;p:Aquificae;c:Aquificae;o:Desulfurobacteriales;f:Desulfurobacteriaceae;g:Thermovibrio;s:Thermovibrioammonificans
Clavibacter_michiganensis_NCPPB_382_uid61625	1	2	2983	1320	k:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Micrococcales;f:Microbacteriaceae;g:Clavibacter;s:Clavibactermichiganensis
Desulfotomaculum_ruminis_DSM_2154_uid67507	1	5	3796	1631	k:Bacteria;p:Firmicutes;c:Clostridia;o:Clostridiales;f:Peptococcaceae;g:Desulfotomaculum;s:Desulfotomaculumruminis
Xanthomonas_oryzae_PXO99A_uid59131	1	2	4988	1980	k:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Xanthomonadales;f:Xanthomonadaceae;g:Xanthomonas;s:Xanthomonasoryzae
Corynebacterium_glutamicum_R_uid58897	1	6	3049	1440	k:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Corynebacteriales;f:Corynebacteriaceae;g:Corynebacterium;s:Corynebacteriumglutamicum
Bacteroides_fragilis_NCTC_9343_uid57639	1	6	4184	1296	k:Bacteria;p:Bacteroidetes;c:Bacteroidia;o:Bacteroidales;f:Bacteroidaceae;g:Bacteroides;s:Bacteroidesfragilis
secondary_endosymbiont_of_Heteropsylla_cubana_Thao2000_uid172738	1	1	576	518	k:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Enterobacteriales;f:Enterobacteriaceae;g:undef;s:undef
Acidilobus_saccharovorans_345_15_uid51395	1	1	1499	757	k:Archaea;p:Crenarchaeota;c:Thermoprotei;o:Acidilobales;f:Acidilobaceae;g:Acidilobus;s:Acidilobussaccharovorans
